University,Rate,Lat,Lon
National University of Kyiv-Mohyla Academy,9.0,50.464687,30.52002
Donetsk National University,8.1,49.224442,28.426641
Kharkiv National University of Radioelectronics,7.4,50.015212,36.228034
Kharkiv National University of Economics,7.3,50.013941,36.224354
Taras Shevchenko National University of Kyiv,7.1,50.442087,30.510402
Sumy State University,6.7,50.89155,34.839053
National Aerospace University â€“ Kharkiv Aviation Institute,6.6,50.043721,36.287674
Lviv Polytechnic,6.3,49.835272,24.014435
Igor Sikorsky Kyiv Polytechnic Institute,6.1,50.448882,30.457254
University of Lviv,6.1,49.840611,24.02251
Oles Honchar Dnipro National University,6.0,48.433192,35.042797
Kharkiv Polytechnic Institute,5.2,49.999002,36.249808
Odessa National Polytechnic University,4.9,46.46097,30.750778
Vinnytsia National Technical University,4.7,49.233833,28.411353
National Aviation University,4.6,50.440074,30.429876
